交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150413,IF1504                        ,期货公司,2459474,-473290,104588,-7372,104588,-7372
20150413,IF1504                        ,非期货公司,0,0,0,0,0,0
20150413,IF1505                        ,期货公司,170426,56838,29406,6295,29406,6295
20150413,IF1505                        ,非期货公司,0,0,0,0,0,0
20150413,IF1506                        ,期货公司,288692,-7598,59890,-273,59890,-273
20150413,IF1506                        ,非期货公司,0,0,0,0,0,0
20150413,IF1509                        ,期货公司,60920,3678,32219,-625,32219,-625
20150413,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150413,IF1504                        ,1,中信期货    ,207642,-24812,中信期货    ,9992,-1219,海通期货    ,9289,-752
20150413,IF1504                        ,2,海通期货    ,144952,-51446,海通期货    ,8629,532,中信期货    ,7191,-1731
20150413,IF1504                        ,3,国泰君安    ,112203,-17079,国泰君安    ,7159,-434,银河期货    ,6466,0
20150413,IF1504                        ,4,南华期货    ,102110,-10504,光大期货    ,5954,-514,国泰君安    ,5705,929
20150413,IF1504                        ,5,申银万国    ,101653,-16284,广发期货    ,5748,817,广发期货    ,5627,-1290
20150413,IF1504                        ,6,兴证期货    ,99735,-11765,方正中期    ,4990,796,永安期货    ,4438,769
20150413,IF1504                        ,7,华泰长城    ,93306,-31300,国信期货    ,3254,-224,鲁证期货    ,3826,-144
20150413,IF1504                        ,8,华鑫期货    ,86328,-15897,华泰长城    ,2979,-165,申银万国    ,3813,-411
20150413,IF1504                        ,9,方正中期    ,86293,-20388,永安期货    ,2877,-85,东海期货    ,3621,1191
20150413,IF1504                        ,10,广发期货    ,78525,-11210,申银万国    ,2668,176,华泰长城    ,3252,-601
20150413,IF1504                        ,11,光大期货    ,77544,3171,南华期货    ,2654,390,财富期货    ,3212,343
20150413,IF1504                        ,12,招商期货    ,68154,-27429,浙商期货    ,2463,-226,光大期货    ,3184,-146
20150413,IF1504                        ,13,银河期货    ,61877,-30293,倍特期货    ,2319,-911,上海东证    ,2405,684
20150413,IF1504                        ,14,瑞达期货    ,58499,-10024,新湖期货    ,2284,-8,兴证期货    ,2191,-851
20150413,IF1504                        ,15,五矿期货    ,54701,-9826,鲁证期货    ,2283,-458,中银国际    ,2146,-77
20150413,IF1504                        ,16,上海东证    ,53375,-20258,银河期货    ,2059,-727,宝城期货    ,1910,46
20150413,IF1504                        ,17,永安期货    ,38000,-12670,兴证期货    ,1813,-380,招商期货    ,1851,-1994
20150413,IF1504                        ,18,鲁证期货    ,37886,-6460,国海良时    ,1695,-50,中信建投    ,1609,-209
20150413,IF1504                        ,19,浙商期货    ,32590,-8755,锦泰期货    ,1692,-988,大地期货    ,1587,-650
20150413,IF1504                        ,20,国信期货    ,32340,-7195,瑞达期货    ,1489,235,南华期货    ,1583,-54
20150413,IF1505                        ,1,海通期货    ,22681,10199,海通期货    ,3139,1098,中信期货    ,3627,1727
20150413,IF1505                        ,2,中信期货    ,14566,2691,永安期货    ,2731,471,国泰君安    ,3347,186
20150413,IF1505                        ,3,光大期货    ,11520,7687,银河期货    ,1683,-336,中银国际    ,1989,83
20150413,IF1505                        ,4,华西期货    ,11398,2315,国泰君安    ,1557,519,财富期货    ,1917,71
20150413,IF1505                        ,5,西部期货    ,7582,3401,宝城期货    ,1446,66,海通期货    ,1829,785
20150413,IF1505                        ,6,国泰君安    ,7519,2339,中信期货    ,1440,161,广发期货    ,1247,770
20150413,IF1505                        ,7,中大期货    ,6483,1435,财富期货    ,1235,5,申银万国    ,1031,209
20150413,IF1505                        ,8,华鑫期货    ,5811,390,申银万国    ,1224,271,永安期货    ,1015,699
20150413,IF1505                        ,9,兴证期货    ,5749,1386,东兴期货    ,1224,10,方正中期    ,933,56
20150413,IF1505                        ,10,永安期货    ,5026,3466,大地期货    ,1223,20,鲁证期货    ,931,130
20150413,IF1505                        ,11,招商期货    ,4936,3281,浙商期货    ,1143,290,兴证期货    ,930,102
20150413,IF1505                        ,12,申银万国    ,4218,2411,南华期货    ,927,104,华泰长城    ,915,123
20150413,IF1505                        ,13,五矿期货    ,4025,1779,兴证期货    ,552,191,光大期货    ,894,253
20150413,IF1505                        ,14,华泰长城    ,3465,1401,广发期货    ,525,211,国信期货    ,686,-44
20150413,IF1505                        ,15,浙商期货    ,3150,831,五矿期货    ,460,65,南华期货    ,608,184
20150413,IF1505                        ,16,新湖期货    ,2950,967,光大期货    ,457,315,招商期货    ,603,26
20150413,IF1505                        ,17,方正中期    ,2874,1232,国投中谷    ,442,37,银河期货    ,458,99
20150413,IF1505                        ,18,南华期货    ,2654,347,华泰长城    ,441,146,国金期货    ,427,184
20150413,IF1505                        ,19,上海东证    ,2474,822,金瑞期货    ,416,395,大连良运    ,419,-5
20150413,IF1505                        ,20,广发期货    ,2429,1547,上海东证    ,415,176,上海东证    ,394,-106
20150413,IF1506                        ,1,海通期货    ,22113,-5682,中信期货    ,8481,756,国泰君安    ,7568,437
20150413,IF1506                        ,2,华鑫期货    ,21672,-1237,倍特期货    ,5739,1501,中信期货    ,6302,-164
20150413,IF1506                        ,3,中信期货    ,18646,-195,方正中期    ,3942,-693,华泰长城    ,4968,-354
20150413,IF1506                        ,4,招商期货    ,16675,4123,光大期货    ,2647,234,国信期货    ,3092,566
20150413,IF1506                        ,5,华西期货    ,16242,-467,国泰君安    ,2601,165,永安期货    ,2310,-996
20150413,IF1506                        ,6,五矿期货    ,14888,1493,银河期货    ,2464,-46,光大期货    ,1927,-124
20150413,IF1506                        ,7,西部期货    ,13458,-766,海通期货    ,2373,136,广发期货    ,1915,309
20150413,IF1506                        ,8,国泰君安    ,9530,-1090,永安期货    ,1830,-125,方正中期    ,1899,183
20150413,IF1506                        ,9,兴证期货    ,8930,1507,宏源期货    ,1760,160,招商期货    ,1758,-348
20150413,IF1506                        ,10,新湖期货    ,8439,2107,安信期货    ,1450,-10,东吴期货    ,1626,-3
20150413,IF1506                        ,11,南华期货    ,8335,-261,一德期货    ,1360,147,南华期货    ,1461,-218
20150413,IF1506                        ,12,光大期货    ,6576,-3171,华泰长城    ,1114,187,长江期货    ,1401,60
20150413,IF1506                        ,13,永安期货    ,6509,-968,中银国际    ,1065,340,银河期货    ,1313,-246
20150413,IF1506                        ,14,华泰长城    ,5957,-1320,浙商期货    ,1061,114,鲁证期货    ,1284,-87
20150413,IF1506                        ,15,银河期货    ,5758,-1368,鲁证期货    ,1050,-642,兴证期货    ,1277,168
20150413,IF1506                        ,16,方正中期    ,5406,-315,瑞达期货    ,1036,-145,大连良运    ,1212,-15
20150413,IF1506                        ,17,浙商期货    ,5264,1622,上海东证    ,1035,103,浙商期货    ,1150,32
20150413,IF1506                        ,18,中信建投    ,4419,171,格林大华    ,940,189,海通期货    ,1029,131
20150413,IF1506                        ,19,中融汇信    ,4044,2080,中粮期货    ,873,-129,五矿期货    ,994,65
20150413,IF1506                        ,20,广发期货    ,3949,-709,国联期货    ,812,90,上海东证    ,988,-68
20150413,IF1509                        ,1,中信期货    ,5874,143,海通期货    ,2248,56,招商期货    ,6722,42
20150413,IF1509                        ,2,华西期货    ,5597,-95,申银万国    ,2227,230,广发期货    ,3872,-15
