交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150416,IF1504                        ,期货公司,1556386,-1298746,21449,-37182,21449,-37182
20150416,IF1504                        ,非期货公司,0,0,0,0,0,0
20150416,IF1505                        ,期货公司,1738558,1173252,99912,44107,99912,44107
20150416,IF1505                        ,非期货公司,0,0,0,0,0,0
20150416,IF1506                        ,期货公司,472952,65372,65697,2573,65697,2573
20150416,IF1506                        ,非期货公司,0,0,0,0,0,0
20150416,IF1509                        ,期货公司,81254,23464,31429,-851,31429,-851
20150416,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150416,IF1504                        ,1,中信期货    ,146982,-84336,光大期货    ,3364,-1481,中信期货    ,1729,-2249
20150416,IF1504                        ,2,海通期货    ,99372,-99081,中信期货    ,2142,-4253,申银万国    ,1605,-808
20150416,IF1504                        ,3,南华期货    ,92078,-44652,国泰君安    ,1451,-3621,广发期货    ,1240,-1813
20150416,IF1504                        ,4,光大期货    ,59847,-41832,华泰长城    ,1331,-377,华泰长城    ,833,-2514
20150416,IF1504                        ,5,申银万国    ,57588,-60477,鲁证期货    ,1279,-247,光大期货    ,744,-1380
20150416,IF1504                        ,6,国泰君安    ,55236,-68702,海通期货    ,1061,-1136,鲁证期货    ,737,-1003
20150416,IF1504                        ,7,五矿期货    ,54828,-14297,瑞达期货    ,906,-246,国泰君安    ,712,-1487
20150416,IF1504                        ,8,方正中期    ,51140,-48902,永安期货    ,688,-754,金瑞期货    ,693,604
20150416,IF1504                        ,9,招商期货    ,48834,-27309,中银国际    ,659,-98,东海期货    ,637,-1525
20150416,IF1504                        ,10,华泰长城    ,48335,-79982,申银万国    ,527,-1210,财富期货    ,599,-1448
20150416,IF1504                        ,11,广发期货    ,44259,-51511,上海东亚    ,430,8,弘业期货    ,569,-382
20150416,IF1504                        ,12,华鑫期货    ,43010,-25744,银河期货    ,407,-652,中国国际    ,552,-451
20150416,IF1504                        ,13,兴证期货    ,41101,-69894,华西期货    ,390,-63,银河期货    ,535,-858
20150416,IF1504                        ,14,西部期货    ,40904,25916,广发期货    ,381,-1402,国联期货    ,521,-441
20150416,IF1504                        ,15,上海东证    ,36515,-31329,宏源期货    ,336,-568,中信建投    ,509,-278
20150416,IF1504                        ,16,瑞达期货    ,35815,-38190,兴证期货    ,321,-873,南华期货    ,500,-306
20150416,IF1504                        ,17,浙商期货    ,27943,-16350,南华期货    ,305,-1554,方正中期    ,486,-201
20150416,IF1504                        ,18,银河期货    ,25752,-40630,上海东证    ,250,-1405,招商期货    ,425,-309
20150416,IF1504                        ,19,鲁证期货    ,23372,-17274,中投天琪    ,245,-231,兴证期货    ,393,-1018
20150416,IF1504                        ,20,国信期货    ,22786,-12333,方正中期    ,239,-1475,海通期货    ,360,-4980
20150416,IF1505                        ,1,中信期货    ,160296,112476,中信期货    ,9936,4942,中信期货    ,10442,4142
20150416,IF1505                        ,2,海通期货    ,129497,75359,永安期货    ,9818,3620,海通期货    ,9218,5129
20150416,IF1505                        ,3,华泰长城    ,75568,63757,海通期货    ,8474,3728,国泰君安    ,6594,1959
20150416,IF1505                        ,4,国泰君安    ,75151,46351,国泰君安    ,6181,2888,广发期货    ,6148,2446
20150416,IF1505                        ,5,光大期货    ,74850,52175,申银万国    ,4297,1587,财富期货    ,4848,1112
20150416,IF1505                        ,6,兴证期货    ,74253,60139,光大期货    ,4121,3207,银河期货    ,4822,906
20150416,IF1505                        ,7,申银万国    ,72454,57170,浙商期货    ,3580,1241,华泰长城    ,4414,2679
20150416,IF1505                        ,8,五矿期货    ,64325,37134,银河期货    ,3394,916,光大期货    ,3811,2491
20150416,IF1505                        ,9,南华期货    ,64209,51850,方正中期    ,3144,2807,鲁证期货    ,3784,1598
20150416,IF1505                        ,10,西部期货    ,62228,36376,南华期货    ,2316,1198,中银国际    ,3742,409
20150416,IF1505                        ,11,方正中期    ,52623,42812,广发期货    ,2216,1171,东海期货    ,3574,2471
20150416,IF1505                        ,12,招商期货    ,45043,20596,宝城期货    ,2189,99,永安期货    ,3467,2626
20150416,IF1505                        ,13,银河期货    ,37104,24168,上海东证    ,2071,821,申银万国    ,3420,721
20150416,IF1505                        ,14,广发期货    ,37003,28444,华泰长城    ,2050,1255,兴证期货    ,2040,653
20150416,IF1505                        ,15,华西期货    ,36661,10885,兴证期货    ,1864,1204,招商期货    ,1835,698
20150416,IF1505                        ,16,上海东证    ,36653,25986,国投中谷    ,1864,1429,中信建投    ,1727,830
20150416,IF1505                        ,17,永安期货    ,30528,18347,国海良时    ,1774,508,方正中期    ,1655,814
20150416,IF1505                        ,18,瑞达期货    ,28478,22976,财富期货    ,1625,415,南华期货    ,1372,189
20150416,IF1505                        ,19,鲁证期货    ,25880,16978,锦泰期货    ,1544,1254,浙商期货    ,1368,1083
20150416,IF1505                        ,20,大有期货    ,24980,21829,东兴期货    ,1333,78,国信期货    ,1306,446
20150416,IF1506                        ,1,海通期货    ,40433,7954,中信期货    ,11069,1862,中信期货    ,8199,1822
20150416,IF1506                        ,2,中信期货    ,35214,6517,倍特期货    ,8616,2348,国泰君安    ,6614,-288
20150416,IF1506                        ,3,华西期货    ,31037,9815,方正中期    ,3506,-11,华泰长城    ,4438,-334
20150416,IF1506                        ,4,五矿期货    ,27505,8073,光大期货    ,2722,-118,银河期货    ,4301,2094
20150416,IF1506                        ,5,西部期货    ,26433,7839,宏源期货    ,2510,494,永安期货    ,4138,445
20150416,IF1506                        ,6,招商期货    ,21356,392,银河期货    ,2393,101,招商期货    ,2695,468
20150416,IF1506                        ,7,南华期货    ,20058,6564,一德期货    ,2032,435,长江期货    ,2281,-71
20150416,IF1506                        ,8,华鑫期货    ,18963,-7592,国泰君安    ,1939,-722,鲁证期货    ,2157,672
20150416,IF1506                        ,9,国泰君安    ,14712,-140,安信期货    ,1808,296,东吴期货    ,1787,10
20150416,IF1506                        ,10,银河期货    ,12337,709,海通期货    ,1769,-779,国信期货    ,1762,67
20150416,IF1506                        ,11,光大期货    ,11438,1947,中银国际    ,1514,-87,光大期货    ,1551,-256
20150416,IF1506                        ,12,兴证期货    ,11385,2379,永安期货    ,1497,-103,五矿期货    ,1497,562
20150416,IF1506                        ,13,新湖期货    ,10838,-468,广发期货    ,1247,322,中信建投    ,1418,-17
20150416,IF1506                        ,14,中大期货    ,9891,4260,上海东证    ,1186,-51,新湖期货    ,1379,491
20150416,IF1506                        ,15,华泰长城    ,7363,-294,浙商期货    ,1044,89,海通期货    ,1365,108
20150416,IF1506                        ,16,申银万国    ,7262,1990,瑞达期货    ,1014,-259,南华期货    ,1297,-132
20150416,IF1506                        ,17,美尔雅     ,7176,2442,格林大华    ,927,171,申银万国    ,1215,114
20150416,IF1506                        ,18,方正中期    ,6886,-3334,中粮期货    ,915,82,方正中期    ,969,-755
20150416,IF1506                        ,19,浙商期货    ,6633,146,华泰长城    ,904,-185,安信期货    ,873,-100
20150416,IF1506                        ,20,鲁证期货    ,6493,794,国联期货    ,826,-84,北京首创    ,806,426
20150416,IF1509                        ,1,中信期货    ,8598,4111,申银万国    ,2555,83,招商期货    ,6985,-5
20150416,IF1509                        ,2,华西期货    ,7625,3184,海通期货    ,2306,46,广发期货    ,4043,133
20150416,IF1509                        ,3,华鑫期货    ,7318,4414,银河期货    ,1796,40,海通期货    ,3170,-110
20150416,IF1509                        ,4,新湖期货    ,4722,-72,国泰君安    ,1779,126,国泰君安    ,2722,-97
20150416,IF1509                        ,5,招商期货    ,4510,2430,中信期货    ,1439,74,中信期货    ,2652,-260
20150416,IF1509                        ,6,海通期货    ,4040,278,上海东证    ,1311,-368,南华期货    ,2499,7
20150416,IF1509                        ,7,西部期货    ,4033,1462,浙商期货    ,1260,-12,华泰长城    ,1423,-41
20150416,IF1509                        ,8,兴证期货    ,3424,791,格林大华    ,1138,-113,上海东证    ,1332,-69
20150416,IF1509                        ,9,南华期货    ,2278,1202,南华期货    ,1113,-57,国信期货    ,625,-13
20150416,IF1509                        ,10,中大期货    ,1777,-810,中融汇信    ,969,4,银河期货    ,569,-62
20150416,IF1509                        ,11,国泰君安    ,1651,139,方正中期    ,916,-21,格林大华    ,449,54
20150416,IF1509                        ,12,申银万国    ,1454,66,兴证期货    ,887,337,光大期货    ,444,7
20150416,IF1509                        ,13,宏源期货    ,1428,751,招商期货    ,749,-105,鲁证期货    ,421,8
20150416,IF1509                        ,14,广发期货    ,1398,163,广发期货    ,739,-273,方正中期    ,393,48
20150416,IF1509                        ,15,五矿期货    ,1397,262,国信期货    ,685,92,永安期货    ,263,-188
20150416,IF1509                        ,16,浙商期货    ,1347,-228,华泰长城    ,652,-7,红塔期货    ,253,1
20150416,IF1509                        ,17,格林大华    ,1313,916,永安期货    ,630,-105,申银万国    ,249,-57
20150416,IF1509                        ,18,长江期货    ,1266,-568,东兴期货    ,618,-53,兴证期货    ,242,-85
20150416,IF1509                        ,19,华泰长城    ,1220,185,新湖期货    ,601,-154,宝城期货    ,241,-2
20150416,IF1509                        ,20,上海东证    ,1161,613,五矿期货    ,580,104,长江期货    ,197,55
