交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150417,IF1504                        ,期货公司,299652,-1256734,0,-21449,0,-21449
20150417,IF1504                        ,非期货公司,0,0,0,0,0,0
20150417,IF1505                        ,期货公司,2777742,1039184,94067,-5845,94067,-5845
20150417,IF1505                        ,非期货公司,0,0,0,0,0,0
20150417,IF1506                        ,期货公司,411612,-61340,64947,-750,64947,-750
20150417,IF1506                        ,非期货公司,0,0,0,0,0,0
20150417,IF1509                        ,期货公司,69560,-11694,31656,227,31656,227
20150417,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150417,IF1504                        ,1,海通期货    ,38100,-61272,国泰君安    ,0,-1451,国泰君安    ,0,-712
20150417,IF1504                        ,2,中信期货    ,16394,-130588,南华期货    ,0,-305,南华期货    ,0,-500
20150417,IF1504                        ,3,西部期货    ,16028,-24876,永安期货    ,0,-688,永安期货    ,0,-303
20150417,IF1504                        ,4,招商期货    ,14211,-34623,一德期货    ,0,-44,一德期货    ,0,-41
20150417,IF1504                        ,5,国泰君安    ,12704,-42532,鲁证期货    ,0,-1279,鲁证期货    ,0,-737
20150417,IF1504                        ,6,光大期货    ,12069,-47778,光大期货    ,0,-3364,光大期货    ,0,-744
20150417,IF1504                        ,7,南华期货    ,10765,-81313,东海期货    ,0,-52,东海期货    ,0,-637
20150417,IF1504                        ,8,方正中期    ,10396,-40744,浙商期货    ,0,-186,浙商期货    ,0,-247
20150417,IF1504                        ,9,五矿期货    ,9912,-44916,中粮期货    ,0,-64,中粮期货    ,0,-32
20150417,IF1504                        ,10,华泰长城    ,7311,-41024,华泰长城    ,0,-1331,华泰长城    ,0,-833
20150417,IF1504                        ,11,申银万国    ,7220,-50368,五矿期货    ,0,-90,五矿期货    ,0,-290
20150417,IF1504                        ,12,鲁证期货    ,7080,-16292,广发期货    ,0,-381,广发期货    ,0,-1240
20150417,IF1504                        ,13,上海中期    ,6723,-5471,信达期货    ,0,-133,信达期货    ,0,-47
20150417,IF1504                        ,14,中信建投    ,5799,-11684,中信期货    ,0,-2142,中信期货    ,0,-1729
20150417,IF1504                        ,15,上海东证    ,5747,-30768,金瑞期货    ,0,-190,金瑞期货    ,0,-693
20150417,IF1504                        ,16,广发期货    ,5673,-38586,新世纪     ,0,-28,新世纪     ,0,-76
20150417,IF1504                        ,17,永安期货    ,5639,-11485,兴证期货    ,0,-321,兴证期货    ,0,-393
20150417,IF1504                        ,18,兴证期货    ,5630,-35471,建信期货    ,0,-44,建信期货    ,0,-6
20150417,IF1504                        ,19,瑞达期货    ,5355,-30460,平安期货    ,0,-11,平安期货    ,0,-129
20150417,IF1504                        ,20,浙商期货    ,4565,-23378,格林大华    ,0,-128,格林大华    ,0,-310
20150417,IF1505                        ,1,中信期货    ,225398,65102,中信期货    ,9148,-788,海通期货    ,8804,-414
20150417,IF1505                        ,2,海通期货    ,186092,56595,海通期货    ,7206,-1268,中信期货    ,7696,-2746
20150417,IF1505                        ,3,南华期货    ,149810,85601,光大期货    ,6338,2217,国泰君安    ,5738,-856
20150417,IF1505                        ,4,国泰君安    ,131995,56844,国泰君安    ,4962,-1219,广发期货    ,5458,-690
20150417,IF1505                        ,5,华泰长城    ,117781,42213,永安期货    ,4299,-5519,财富期货    ,5134,286
20150417,IF1505                        ,6,申银万国    ,117656,45202,方正中期    ,3778,634,华泰长城    ,4513,99
20150417,IF1505                        ,7,兴证期货    ,99602,25349,浙商期货    ,3717,137,银河期货    ,4346,-476
20150417,IF1505                        ,8,光大期货    ,98677,23827,申银万国    ,3290,-1007,光大期货    ,3923,112
20150417,IF1505                        ,9,方正中期    ,91570,38947,南华期货    ,2536,220,中银国际    ,3846,104
20150417,IF1505                        ,10,广发期货    ,81838,44835,宝城期货    ,2510,321,申银万国    ,3557,137
20150417,IF1505                        ,11,招商期货    ,75920,30877,广发期货    ,2328,112,鲁证期货    ,3140,-644
20150417,IF1505                        ,12,瑞达期货    ,72947,44469,银河期货    ,2189,-1205,东海期货    ,3122,-452
20150417,IF1505                        ,13,华鑫期货    ,68223,55866,华泰长城    ,2052,2,永安期货    ,2978,-489
20150417,IF1505                        ,14,五矿期货    ,66715,2390,鲁证期货    ,1993,931,兴证期货    ,2073,33
20150417,IF1505                        ,15,上海东证    ,64001,27348,国海良时    ,1942,168,中信建投    ,1818,91
20150417,IF1505                        ,16,银河期货    ,63679,26575,兴证期货    ,1897,33,上海东证    ,1629,324
20150417,IF1505                        ,17,永安期货    ,51170,20642,国投中谷    ,1746,-118,招商期货    ,1434,-401
20150417,IF1505                        ,18,鲁证期货    ,44265,18385,财富期货    ,1587,-38,方正中期    ,1389,-266
20150417,IF1505                        ,19,大有期货    ,43016,18036,东兴期货    ,1485,152,南华期货    ,1374,2
20150417,IF1505                        ,20,国信期货    ,36164,13713,上海东证    ,1472,-599,浙商期货    ,1318,-50
20150417,IF1506                        ,1,中信期货    ,36710,1496,中信期货    ,11504,435,中信期货    ,8144,-55
20150417,IF1506                        ,2,海通期货    ,36627,-3806,倍特期货    ,8615,-1,国泰君安    ,6329,-285
20150417,IF1506                        ,3,华鑫期货    ,31309,12346,方正中期    ,3461,-45,华泰长城    ,4447,9
20150417,IF1506                        ,4,光大期货    ,23293,11855,光大期货    ,2772,50,银河期货    ,3532,-769
20150417,IF1506                        ,5,五矿期货    ,22951,-4554,银河期货    ,2434,41,永安期货    ,3100,-1038
20150417,IF1506                        ,6,华西期货    ,21061,-9976,中银国际    ,2359,845,招商期货    ,2607,-88
20150417,IF1506                        ,7,西部期货    ,14276,-12157,宏源期货    ,2332,-178,长江期货    ,2308,27
20150417,IF1506                        ,8,新湖期货    ,13104,2266,瑞达期货    ,1877,863,国信期货    ,2297,535
20150417,IF1506                        ,9,南华期货    ,11859,-8199,安信期货    ,1825,17,广发期货    ,1857,1154
20150417,IF1506                        ,10,国泰君安    ,10764,-3948,海通期货    ,1810,41,光大期货    ,1660,109
20150417,IF1506                        ,11,中大期货    ,10383,492,一德期货    ,1704,-328,东吴期货    ,1571,-216
20150417,IF1506                        ,12,招商期货    ,9623,-11733,国泰君安    ,1556,-383,五矿期货    ,1440,-57
20150417,IF1506                        ,13,兴证期货    ,7360,-4025,永安期货    ,1448,-49,鲁证期货    ,1404,-753
20150417,IF1506                        ,14,华泰长城    ,7164,-199,广发期货    ,1192,-55,中信建投    ,1332,-86
20150417,IF1506                        ,15,申银万国    ,6422,-840,上海东证    ,1149,-37,海通期货    ,1285,-80
20150417,IF1506                        ,16,方正中期    ,6316,-570,浙商期货    ,984,-60,申银万国    ,1231,16
20150417,IF1506                        ,17,永安期货    ,6073,75,华泰长城    ,921,17,南华期货    ,1219,-78
20150417,IF1506                        ,18,上海东证    ,5953,-334,国联期货    ,802,-24,新湖期货    ,1108,-271
20150417,IF1506                        ,19,鲁证期货    ,5916,-577,南华期货    ,772,-13,安信期货    ,1095,222
20150417,IF1506                        ,20,浙商期货    ,5844,-789,招商期货    ,683,-27,方正中期    ,1002,33
20150417,IF1509                        ,1,华鑫期货    ,7748,430,申银万国    ,2727,172,招商期货    ,6899,-86
20150417,IF1509                        ,2,中信期货    ,7022,-1576,海通期货    ,2413,107,广发期货    ,4036,-7
