交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150427,IF1505                        ,期货公司,2652728,-169610,102486,1514,102486,1514
20150427,IF1505                        ,非期货公司,0,0,0,0,0,0
20150427,IF1506                        ,期货公司,316726,-26592,66080,-884,66080,-884
20150427,IF1506                        ,非期货公司,0,0,0,0,0,0
20150427,IF1509                        ,期货公司,72214,11452,31325,-442,31325,-442
20150427,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150427,IF1505                        ,1,中信期货    ,241993,-21463,光大期货    ,8555,2304,海通期货    ,9850,741
20150427,IF1505                        ,2,海通期货    ,175431,-1354,海通期货    ,8134,2444,中信期货    ,8447,1071
20150427,IF1505                        ,3,申银万国    ,121807,-2369,中信期货    ,6844,-1766,财富期货    ,5541,66
20150427,IF1505                        ,4,南华期货    ,121630,-2225,永安期货    ,6014,-2616,国泰君安    ,5380,135
20150427,IF1505                        ,5,华泰长城    ,120665,6843,国泰君安    ,5346,648,银河期货    ,4771,397
20150427,IF1505                        ,6,国泰君安    ,120259,-9249,方正中期    ,5233,2308,广发期货    ,4628,31
20150427,IF1505                        ,7,光大期货    ,102163,-5517,浙商期货    ,4134,567,申银万国    ,4244,505
20150427,IF1505                        ,8,兴证期货    ,93601,-15764,银河期货    ,3402,-458,华泰长城    ,4124,-178
20150427,IF1505                        ,9,广发期货    ,87845,6305,宝城期货    ,3139,185,永安期货    ,3844,967
20150427,IF1505                        ,10,方正中期    ,87238,-8196,申银万国    ,3066,266,光大期货    ,3155,185
20150427,IF1505                        ,11,华鑫期货    ,71869,-7778,广发期货    ,2635,-598,南华期货    ,3023,198
20150427,IF1505                        ,12,上海东证    ,63946,-7190,国海良时    ,2356,564,鲁证期货    ,2718,4
20150427,IF1505                        ,13,瑞达期货    ,62028,-13910,格林大华    ,1943,-1125,兴证期货    ,2511,423
20150427,IF1505                        ,14,招商期货    ,61856,-10957,兴证期货    ,1874,134,东海期货    ,2448,-515
20150427,IF1505                        ,15,五矿期货    ,61675,-4363,南华期货    ,1804,-58,方正中期    ,2337,450
20150427,IF1505                        ,16,银河期货    ,58259,-8645,招商期货    ,1731,53,上海东证    ,2270,-690
20150427,IF1505                        ,17,鲁证期货    ,45960,-1687,鲁证期货    ,1711,40,中国国际    ,2185,1637
20150427,IF1505                        ,18,永安期货    ,40611,-117,华泰长城    ,1694,-363,中银国际    ,1951,-88
20150427,IF1505                        ,19,大有期货    ,40330,-2608,中信建投    ,1665,687,中信建投    ,1672,-12
20150427,IF1505                        ,20,浙商期货    ,37473,-3628,财富期货    ,1588,-19,国金期货    ,1477,82
20150427,IF1506                        ,1,海通期货    ,42172,1672,中信期货    ,10812,-16,中信期货    ,9520,-194
20150427,IF1506                        ,2,中信期货    ,24562,717,倍特期货    ,8530,-25,国泰君安    ,7294,-249
20150427,IF1506                        ,3,招商期货    ,23563,-2252,宏源期货    ,2541,79,华泰长城    ,4042,-46
20150427,IF1506                        ,4,华鑫期货    ,17555,982,光大期货    ,2306,46,银河期货    ,3359,264
20150427,IF1506                        ,5,光大期货    ,17181,-1510,永安期货    ,2284,85,国信期货    ,3026,-578
20150427,IF1506                        ,6,西部期货    ,15108,-1239,方正中期    ,2258,247,永安期货    ,2621,105
20150427,IF1506                        ,7,五矿期货    ,14226,-2020,中银国际    ,2175,4,长江期货    ,2600,532
20150427,IF1506                        ,8,南华期货    ,11086,-226,海通期货    ,2117,94,中银国际    ,2158,50
20150427,IF1506                        ,9,国泰君安    ,10949,-2177,银河期货    ,2075,18,招商期货    ,1887,18
