交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150429,IF1505                        ,期货公司,2407150,-469942,101301,11701,101301,11701
20150429,IF1505                        ,非期货公司,0,0,0,0,0,0
20150429,IF1506                        ,期货公司,271502,-54034,62842,-1387,62842,-1387
20150429,IF1506                        ,非期货公司,0,0,0,0,0,0
20150429,IF1509                        ,期货公司,66126,-8190,30242,-937,30242,-937
20150429,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150429,IF1505                        ,1,中信期货    ,255403,-44291,光大期货    ,8309,934,海通期货    ,8733,251
20150429,IF1505                        ,2,海通期货    ,145638,-39439,海通期货    ,8210,3821,中信期货    ,7596,799
20150429,IF1505                        ,3,申银万国    ,113363,-13784,中信期货    ,7132,80,国泰君安    ,6517,-1342
20150429,IF1505                        ,4,国泰君安    ,104998,-22273,永安期货    ,5169,-595,财富期货    ,5010,468
20150429,IF1505                        ,5,南华期货    ,101058,-13580,国泰君安    ,4720,-596,银河期货    ,4925,1067
20150429,IF1505                        ,6,华泰长城    ,98927,-13889,银河期货    ,3753,1632,华泰长城    ,4478,1457
20150429,IF1505                        ,7,兴证期货    ,87008,-15964,浙商期货    ,3648,637,申银万国    ,4321,758
20150429,IF1505                        ,8,方正中期    ,81482,-22489,广发期货    ,3389,-1479,广发期货    ,4143,51
20150429,IF1505                        ,9,华鑫期货    ,80343,-9745,申银万国    ,3221,403,永安期货    ,4029,893
20150429,IF1505                        ,10,光大期货    ,75428,-19335,宝城期货    ,3091,563,南华期货    ,3404,1665
20150429,IF1505                        ,11,上海东证    ,69557,547,招商期货    ,2906,962,鲁证期货    ,3196,458
20150429,IF1505                        ,12,广发期货    ,68976,-22231,方正中期    ,2589,309,光大期货    ,2814,-86
20150429,IF1505                        ,13,银河期货    ,60339,-7501,上海东证    ,2442,100,东海期货    ,2312,1270
20150429,IF1505                        ,14,瑞达期货    ,58765,-8509,华泰长城    ,2281,234,上海东证    ,2070,-39
20150429,IF1505                        ,15,招商期货    ,58125,-5131,南华期货    ,1929,217,兴证期货    ,2047,303
20150429,IF1505                        ,16,永安期货    ,44540,-5602,鲁证期货    ,1884,-40,方正中期    ,1960,-29
20150429,IF1505                        ,17,五矿期货    ,43395,-20859,兴证期货    ,1854,97,中银国际    ,1900,-13
20150429,IF1505                        ,18,鲁证期货    ,41968,-7631,国海良时    ,1831,712,中国国际    ,1602,-209
20150429,IF1505                        ,19,大有期货    ,39352,-6809,中信建投    ,1732,430,中信建投    ,1584,323
20150429,IF1505                        ,20,浙商期货    ,33204,-10535,财富期货    ,1628,-1,中投天琪    ,1492,52
20150429,IF1506                        ,1,海通期货    ,31687,-6327,中信期货    ,10643,-55,中信期货    ,8734,-123
20150429,IF1506                        ,2,中信期货    ,22446,-5369,倍特期货    ,8640,84,国泰君安    ,7265,-382
20150429,IF1506                        ,3,招商期货    ,21027,1460,银河期货    ,2604,165,华泰长城    ,3699,56
20150429,IF1506                        ,4,华鑫期货    ,20185,-3353,宏源期货    ,2293,-235,银河期货    ,3390,-85
20150429,IF1506                        ,5,光大期货    ,14232,-5568,光大期货    ,2275,-256,长江期货    ,2673,80
20150429,IF1506                        ,6,西部期货    ,13817,-4060,中银国际    ,2144,1,中银国际    ,2181,36
20150429,IF1506                        ,7,南华期货    ,9597,-828,永安期货    ,2074,-62,国信期货    ,2105,-1202
20150429,IF1506                        ,8,五矿期货    ,8743,-4067,安信期货    ,2046,61,永安期货    ,1996,-481
