交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150511,IF1505                        ,期货公司,2525344,-379814,94630,-31651,94630,-31651
20150511,IF1505                        ,非期货公司,0,0,0,0,0,0
20150511,IF1506                        ,期货公司,465348,28976,74217,929,74217,929
20150511,IF1506                        ,非期货公司,0,0,0,0,0,0
20150511,IF1509                        ,期货公司,73482,564,29717,-732,29717,-732
20150511,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150511,IF1505                        ,1,中信期货    ,290273,-35899,海通期货    ,8944,-2978,中信期货    ,8524,-6777
20150511,IF1505                        ,2,海通期货    ,140289,-40737,中信期货    ,7414,-1706,海通期货    ,7190,-1803
20150511,IF1505                        ,3,申银万国    ,116814,-20880,光大期货    ,6355,-47,国泰君安    ,5935,-1674
20150511,IF1505                        ,4,华泰长城    ,102539,-7713,浙商期货    ,6017,-1558,财富期货    ,5898,-959
20150511,IF1505                        ,5,国泰君安    ,100706,-26591,永安期货    ,5121,-6984,银河期货    ,4729,-1503
20150511,IF1505                        ,6,兴证期货    ,98714,-15017,国泰君安    ,4979,-1536,方正中期    ,4212,564
20150511,IF1505                        ,7,南华期货    ,98007,-17950,广发期货    ,3599,2107,广发期货    ,3823,-1173
20150511,IF1505                        ,8,方正中期    ,88482,-16519,华泰长城    ,3428,-219,申银万国    ,3818,-701
20150511,IF1505                        ,9,光大期货    ,80173,-11277,招商期货    ,2817,-2131,华泰长城    ,3592,-2366
20150511,IF1505                        ,10,广发期货    ,77196,-10990,方正中期    ,2803,904,永安期货    ,2847,-2366
20150511,IF1505                        ,11,华鑫期货    ,69374,-14664,申银万国    ,2699,-1223,鲁证期货    ,2607,-1597
20150511,IF1505                        ,12,上海东证    ,68708,335,国海良时    ,2458,-239,中国国际    ,2324,80
20150511,IF1505                        ,13,瑞达期货    ,66617,-9305,鲁证期货    ,1763,265,上海东证    ,2157,688
20150511,IF1505                        ,14,银河期货    ,59950,-7534,兴证期货    ,1749,-1243,宝城期货    ,1952,-246
20150511,IF1505                        ,15,五矿期货    ,50020,-11509,南华期货    ,1588,377,招商期货    ,1796,-101
20150511,IF1505                        ,16,永安期货    ,47402,-5631,银河期货    ,1551,-2535,西部期货    ,1795,-70
20150511,IF1505                        ,17,招商期货    ,45180,-17921,中信建投    ,1485,-19,光大期货    ,1697,-1948
20150511,IF1505                        ,18,鲁证期货    ,39280,-1672,安信期货    ,1411,21,兴证期货    ,1566,-1245
20150511,IF1505                        ,19,大有期货    ,36542,-9439,宝城期货    ,1401,-1498,中信建投    ,1543,-709
20150511,IF1505                        ,20,中大期货    ,34218,-5652,国信期货    ,1370,-268,国金期货    ,1514,-742
20150511,IF1506                        ,1,中信期货    ,49116,-712,中信期货    ,15148,-820,中信期货    ,10693,144
20150511,IF1506                        ,2,海通期货    ,41176,1284,倍特期货    ,6272,-161,国泰君安    ,8135,-599
20150511,IF1506                        ,3,招商期货    ,25539,-4174,格林大华    ,4182,672,华泰长城    ,4173,-161
20150511,IF1506                        ,4,五矿期货    ,22294,2493,美尔雅     ,2824,1529,海通期货    ,4169,331
20150511,IF1506                        ,5,华鑫期货    ,20992,-2939,光大期货    ,2534,113,中银国际    ,3650,436
20150511,IF1506                        ,6,华西期货    ,19459,14325,瑞达期货    ,2176,68,银河期货    ,3396,76
20150511,IF1506                        ,7,西部期货    ,18378,-4074,国泰君安    ,2091,-52,国信期货    ,3110,-124
20150511,IF1506                        ,8,光大期货    ,16981,-231,安信期货    ,1874,-23,长江期货    ,2644,13
20150511,IF1506                        ,9,国泰君安    ,15045,-368,宏源期货    ,1868,119,永安期货    ,2279,-155
20150511,IF1506                        ,10,兴证期货    ,12741,1442,国元期货    ,1839,562,光大期货    ,2095,298
20150511,IF1506                        ,11,南华期货    ,12087,11,永安期货    ,1727,-1778,招商期货    ,2034,84
20150511,IF1506                        ,12,申银万国    ,10871,1397,中银国际    ,1679,-10,中信建投    ,1624,352
20150511,IF1506                        ,13,华泰长城    ,9892,4028,上海东证    ,1595,697,新湖期货    ,1617,-76
20150511,IF1506                        ,14,上海东证    ,9516,2734,银河期货    ,1556,30,五矿期货    ,1498,82
20150511,IF1506                        ,15,银河期货    ,9090,2503,华泰长城    ,1499,269,鲁证期货    ,1378,-112
20150511,IF1506                        ,16,永安期货    ,8989,929,中信建投    ,1391,146,申银万国    ,1308,86
20150511,IF1506                        ,17,方正中期    ,7721,245,一德期货    ,1273,-43,东吴期货    ,1232,-108
20150511,IF1506                        ,18,浙商期货    ,7286,2891,海通期货    ,1189,95,方正中期    ,1152,48
20150511,IF1506                        ,19,广发期货    ,6446,1615,广发期货    ,1142,196,安信期货    ,1141,-151
20150511,IF1506                        ,20,美尔雅     ,5843,3367,申银万国    ,1086,15,上海东证    ,1036,-159
20150511,IF1509                        ,1,中信期货    ,9026,-842,申银万国    ,3241,88,招商期货    ,5566,-102
20150511,IF1509                        ,2,海通期货    ,7682,538,海通期货    ,1994,-202,广发期货    ,4725,-85
20150511,IF1509                        ,3,华鑫期货    ,5697,536,银河期货    ,1718,-316,中信期货    ,3558,131
20150511,IF1509                        ,4,招商期货    ,4343,-373,中信期货    ,1651,239,海通期货    ,3269,-136
20150511,IF1509                        ,5,五矿期货    ,4077,1111,国泰君安    ,1447,-28,国泰君安    ,2949,3
