交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150528,IF1506                        ,期货公司,3671290,512342,182766,3842,182766,3842
20150528,IF1506                        ,非期货公司,0,0,0,0,0,0
20150528,IF1509                        ,期货公司,169592,8072,28943,-760,28943,-760
20150528,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150528,IF1506                        ,1,中信期货    ,356423,36694,中信期货    ,27635,-764,海通期货    ,16824,-522
20150528,IF1506                        ,2,海通期货    ,227908,57347,光大期货    ,10535,-285,中信期货    ,16590,127
20150528,IF1506                        ,3,申银万国    ,193865,25538,永安期货    ,9810,163,银河期货    ,12271,146
20150528,IF1506                        ,4,兴证期货    ,171991,42263,海通期货    ,8330,424,国泰君安    ,11586,2515
20150528,IF1506                        ,5,国泰君安    ,168587,35828,浙商期货    ,8168,2157,永安期货    ,11315,5018
20150528,IF1506                        ,6,南华期货    ,151222,18020,国泰君安    ,7769,-1696,华泰长城    ,8653,806
20150528,IF1506                        ,7,华泰长城    ,142526,24368,方正中期    ,6710,273,广发期货    ,8569,337
20150528,IF1506                        ,8,方正中期    ,128376,13755,申银万国    ,5945,832,鲁证期货    ,7283,-657
20150528,IF1506                        ,9,广发期货    ,114329,25056,倍特期货    ,5832,-95,财富期货    ,6823,582
20150528,IF1506                        ,10,五矿期货    ,109653,9923,银河期货    ,5581,-2134,南华期货    ,6319,-32
20150528,IF1506                        ,11,光大期货    ,109080,37411,格林大华    ,5296,-1005,光大期货    ,6192,-275
20150528,IF1506                        ,12,上海东证    ,101534,14848,招商期货    ,5124,2891,申银万国    ,5971,-497
20150528,IF1506                        ,13,华鑫期货    ,97044,-410,安信期货    ,5017,1415,中信建投    ,4695,-484
20150528,IF1506                        ,14,招商期货    ,92644,6245,上海东证    ,3880,-24,兴证期货    ,4071,-361
20150528,IF1506                        ,15,瑞达期货    ,85058,2202,中国国际    ,3704,1473,国信期货    ,3677,105
20150528,IF1506                        ,16,银河期货    ,84762,708,华泰长城    ,3287,64,上海东证    ,3655,-234
20150528,IF1506                        ,17,大有期货    ,62553,15153,宝城期货    ,3134,393,安信期货    ,3554,785
20150528,IF1506                        ,18,永安期货    ,57793,3021,鲁证期货    ,2895,-144,方正中期    ,3176,-1989
20150528,IF1506                        ,19,浙商期货    ,56039,2111,新湖期货    ,2798,260,五矿期货    ,2989,711
20150528,IF1506                        ,20,鲁证期货    ,54101,-2168,中信建投    ,2725,1630,国金期货    ,2090,149
20150528,IF1509                        ,1,中信期货    ,24185,-3145,申银万国    ,3556,1557,中信期货    ,6194,-31
20150528,IF1509                        ,2,华鑫期货    ,14416,-1499,海通期货    ,2000,44,广发期货    ,4402,24
20150528,IF1509                        ,3,海通期货    ,11482,4030,银河期货    ,1684,108,招商期货    ,3656,-1
20150528,IF1509                        ,4,华西期货    ,10758,1071,永安期货    ,1133,70,华泰长城    ,2802,312
20150528,IF1509                        ,5,招商期货    ,9395,351,光大期货    ,1078,-330,国泰君安    ,2092,-184
20150528,IF1509                        ,6,光大期货    ,8856,4827,中信期货    ,1062,-40,海通期货    ,1970,-92
20150528,IF1509                        ,7,五矿期货    ,8683,-4472,中银国际    ,969,0,银河期货    ,1313,-21
20150528,IF1509                        ,8,申银万国    ,6791,1892,国泰君安    ,957,-251,上海东证    ,866,48
20150528,IF1509                        ,9,南华期货    ,6419,1615,广发期货    ,901,-126,格林大华    ,644,458
20150528,IF1509                        ,10,新湖期货    ,5100,-1625,南华期货    ,887,25,光大期货    ,568,54
20150528,IF1509                        ,11,国信期货    ,3461,865,方正中期    ,764,58,鲁证期货    ,519,-23
20150528,IF1509                        ,12,银河期货    ,3325,-321,五矿期货    ,691,-54,方正中期    ,305,-4
20150528,IF1509                        ,13,国泰君安    ,3173,-333,中融汇信    ,677,15,永安期货    ,271,18
20150528,IF1509                        ,14,华泰长城    ,3149,584,倍特期货    ,670,74,南华期货    ,241,-26
20150528,IF1509                        ,15,兴证期货    ,2451,769,华泰长城    ,634,1,新湖期货    ,199,0
20150528,IF1509                        ,16,格林大华    ,2422,1341,上海中期    ,525,13,中投天琪    ,195,17
20150528,IF1509                        ,17,西部期货    ,2224,169,招商期货    ,494,26,申银万国    ,189,-786
20150528,IF1509                        ,18,上海东证    ,2175,109,上海东证    ,489,119,兴证期货    ,185,-2
20150528,IF1509                        ,19,美尔雅     ,2135,1324,东兴期货    ,483,2,国信期货    ,178,-295
20150528,IF1509                        ,20,广发期货    ,2132,-912,中信建投    ,398,-15,瑞达期货    ,159,-9
