交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150707,IF1507                        ,期货公司,3037378,-964014,108537,-15124,108537,-15124
20150707,IF1507                        ,非期货公司,0,0,0,0,0,0
20150707,IF1509                        ,期货公司,154238,-114704,29731,1227,29731,1227
20150707,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150707,IF1507                        ,1,中信期货    ,206896,-18798,国泰君安    ,10852,-1278,海通期货    ,13728,-351
20150707,IF1507                        ,2,申银万国    ,174810,-16429,永安期货    ,8192,-862,中信期货    ,12670,-2174
20150707,IF1507                        ,3,海通期货    ,170630,-90736,中信期货    ,7940,-4202,华泰期货    ,6075,-681
20150707,IF1507                        ,4,国泰君安    ,134309,-22010,海通期货    ,6818,-47,国泰君安    ,4491,-3939
20150707,IF1507                        ,5,华泰期货    ,131179,-58331,方正中期    ,6084,695,鲁证期货    ,4480,40
20150707,IF1507                        ,6,兴证期货    ,129673,-51793,申银万国    ,5435,-1677,广发期货    ,4367,-2481
20150707,IF1507                        ,7,光大期货    ,113580,-66668,光大期货    ,4522,-681,中银国际    ,4290,-1601
20150707,IF1507                        ,8,方正中期    ,111349,13067,银河期货    ,3179,-1070,永安期货    ,4133,-1383
20150707,IF1507                        ,9,广发期货    ,110280,-12753,招商期货    ,2732,-344,上海东证    ,3807,-164
20150707,IF1507                        ,10,银河期货    ,97788,-12771,华泰期货    ,2483,-122,光大期货    ,3748,-73
20150707,IF1507                        ,11,南华期货    ,85392,-126894,南华期货    ,2153,570,兴证期货    ,3385,526
20150707,IF1507                        ,12,上海东证    ,75990,-9706,上海东证    ,1941,-376,申银万国    ,2940,137
20150707,IF1507                        ,13,中大期货    ,54911,-16033,鲁证期货    ,1835,-308,国信期货    ,2769,-767
20150707,IF1507                        ,14,国信期货    ,54414,2629,浙商期货    ,1811,199,南华期货    ,2523,-326
20150707,IF1507                        ,15,鲁证期货    ,49222,-9337,广发期货    ,1797,-681,财富期货    ,2495,-1013
20150707,IF1507                        ,16,华鑫期货    ,47145,-51199,中信建投    ,1616,763,西部期货    ,2401,107
20150707,IF1507                        ,17,瑞达期货    ,46912,-19360,大连良运    ,1568,870,银河期货    ,2216,-352
20150707,IF1507                        ,18,浙商期货    ,42168,-6123,安信期货    ,1458,-326,中信建投    ,2205,-263
20150707,IF1507                        ,19,国贸期货    ,40485,5954,宏源期货    ,1395,545,国金期货    ,2075,-21
20150707,IF1507                        ,20,徽商期货    ,40241,-3290,兴证期货    ,1363,745,五矿期货    ,2049,52
20150707,IF1509                        ,1,中信期货    ,12680,-10865,国泰君安    ,2941,225,华泰期货    ,5987,9
20150707,IF1509                        ,2,华鑫期货    ,11444,-6650,银河期货    ,1584,3,中信期货    ,5260,-23
20150707,IF1509                        ,3,新湖期货    ,9343,1735,中信期货    ,1570,307,广发期货    ,2762,-3
20150707,IF1509                        ,4,光大期货    ,8736,-5992,南华期货    ,1319,-14,招商期货    ,2686,79
20150707,IF1509                        ,5,海通期货    ,7784,-3014,国信期货    ,1209,-580,银河期货    ,2617,1
20150707,IF1509                        ,6,中大期货    ,7559,206,中国国际    ,1054,533,国泰君安    ,2560,1495
20150707,IF1509                        ,7,国泰君安    ,6258,-393,永安期货    ,930,54,光大期货    ,769,-28
20150707,IF1509                        ,8,上海中财    ,5328,-12907,华西期货    ,904,-458,长江期货    ,768,-13
20150707,IF1509                        ,9,银河期货    ,4888,-7402,光大期货    ,875,-2,格林大华    ,700,-2
20150707,IF1509                        ,10,国信期货    ,4525,-2132,鲁证期货    ,864,188,上海东证    ,565,-8
20150707,IF1509                        ,11,华西期货    ,3988,-1607,海通期货    ,824,85,安信期货    ,488,-13
20150707,IF1509                        ,12,兴证期货    ,3433,-7804,华泰期货    ,807,-40,鲁证期货    ,478,-10
20150707,IF1509                        ,13,五矿期货    ,3009,-1914,申银万国    ,792,-50,五矿期货    ,455,-11
20150707,IF1509                        ,14,南华期货    ,2991,-3529,方正中期    ,777,6,海通期货    ,435,15
20150707,IF1509                        ,15,广发期货    ,2854,376,广发期货    ,682,261,方正中期    ,350,-4
20150707,IF1509                        ,16,鲁证期货    ,2638,210,上海东证    ,672,175,永安期货    ,282,-41
20150707,IF1509                        ,17,华泰期货    ,2635,-3258,长江期货    ,605,66,新湖期货    ,182,-5
20150707,IF1509                        ,18,申银万国    ,2593,-999,招商期货    ,599,132,南华期货    ,178,-121
20150707,IF1509                        ,19,宏源期货    ,2385,1310,五矿期货    ,548,44,中投天琪    ,174,1
20150707,IF1509                        ,20,上海东证    ,2343,-442,中原期货    ,496,11,宝城期货    ,170,89
