交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150730,IF1508                        ,期货公司,4493814,362402,64093,-266,64093,-266
20150730,IF1508                        ,非期货公司,0,0,0,0,0,0
20150730,IF1509                        ,期货公司,198488,-6684,28072,1461,28072,1461
20150730,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150730,IF1508                        ,1,申银万国    ,242576,7869,国泰君安    ,5267,996,国泰君安    ,8180,1637
20150730,IF1508                        ,2,中信期货    ,242542,-9304,中信期货    ,5050,808,海通期货    ,7077,-525
20150730,IF1508                        ,3,国泰君安    ,225857,-1737,海通期货    ,2889,-2539,华泰期货    ,6587,72
20150730,IF1508                        ,4,海通期货    ,216270,-8999,混沌天成    ,2554,229,中信期货    ,5386,-360
20150730,IF1508                        ,5,华泰期货    ,194521,15770,鲁证期货    ,2549,732,国信期货    ,2644,663
20150730,IF1508                        ,6,光大期货    ,181827,21668,永安期货    ,2166,-426,鲁证期货    ,2380,1
20150730,IF1508                        ,7,兴证期货    ,174344,15989,方正中期    ,2164,217,广发期货    ,1840,288
20150730,IF1508                        ,8,南华期货    ,156406,4270,银河期货    ,2151,-485,光大期货    ,1675,384
20150730,IF1508                        ,9,上海东证    ,153894,23346,上海东证    ,1916,423,方正中期    ,1672,315
20150730,IF1508                        ,10,银河期货    ,145535,27386,华泰期货    ,1721,-617,银河期货    ,1604,-746
20150730,IF1508                        ,11,方正中期    ,127804,22109,申银万国    ,1684,218,南华期货    ,1457,-649
20150730,IF1508                        ,12,广发期货    ,123567,18923,中大期货    ,1643,1103,永安期货    ,1171,-121
20150730,IF1508                        ,13,大有期货    ,99909,22180,兴证期货    ,1628,640,兴证期货    ,1103,-286
20150730,IF1508                        ,14,中融汇信    ,98138,13130,广发期货    ,1585,-789,东兴期货    ,1029,-25
20150730,IF1508                        ,15,瑞达期货    ,82380,8781,招商期货    ,1351,420,锦泰期货    ,1018,971
20150730,IF1508                        ,16,大越期货    ,77231,29889,光大期货    ,1318,-333,上海东证    ,1015,-301
20150730,IF1508                        ,17,鲁证期货    ,68957,8526,倍特期货    ,1097,309,招商期货    ,957,-374
20150730,IF1508                        ,18,中大期货    ,68783,9728,中信建投    ,1087,-151,中信建投    ,921,-137
20150730,IF1508                        ,19,新湖期货    ,67671,8497,长江期货    ,1063,-55,徽商期货    ,919,755
20150730,IF1508                        ,20,招商期货    ,67154,329,宏源期货    ,1022,90,申银万国    ,848,-142
20150730,IF1509                        ,1,中信期货    ,22901,1468,国泰君安    ,3748,190,中信期货    ,5502,82
20150730,IF1509                        ,2,海通期货    ,18100,1419,中信期货    ,1725,-19,银河期货    ,2859,60
20150730,IF1509                        ,3,华西期货    ,14939,665,银河期货    ,1653,-25,招商期货    ,2814,45
20150730,IF1509                        ,4,光大期货    ,9583,-727,华泰期货    ,1199,-53,广发期货    ,2732,35
20150730,IF1509                        ,5,兴证期货    ,8601,-1150,方正中期    ,1194,31,国泰君安    ,2619,90
20150730,IF1509                        ,6,招商期货    ,7292,-392,海通期货    ,1046,143,华泰期货    ,1917,79
20150730,IF1509                        ,7,金瑞期货    ,6706,-1844,永安期货    ,1030,56,永安期货    ,1437,102
20150730,IF1509                        ,8,国泰君安    ,6588,-637,南华期货    ,945,112,鲁证期货    ,677,3
20150730,IF1509                        ,9,华泰期货    ,5518,893,东兴期货    ,736,-1,长江期货    ,641,13
20150730,IF1509                        ,10,上海东证    ,4578,974,鲁证期货    ,693,137,美尔雅     ,640,530
20150730,IF1509                        ,11,银河期货    ,3987,-2475,财富期货    ,679,157,华西期货    ,478,51
20150730,IF1509                        ,12,永安期货    ,3980,-964,中原期货    ,642,113,安信期货    ,474,0
20150730,IF1509                        ,13,申银万国    ,3967,-962,广发期货    ,601,25,新湖期货    ,403,5
20150730,IF1509                        ,14,中信建投    ,3762,1480,中国国际    ,549,-4,中投天琪    ,258,98
20150730,IF1509                        ,15,五矿期货    ,3557,129,上海中期    ,484,5,海通期货    ,250,-33
20150730,IF1509                        ,16,方正中期    ,3143,-879,兴证期货    ,457,-23,上海东证    ,245,-13
20150730,IF1509                        ,17,国投中谷    ,2862,1504,招商期货    ,452,-45,光大期货    ,224,24
20150730,IF1509                        ,18,瑞达期货    ,2624,149,新纪元     ,450,6,申银万国    ,217,8
20150730,IF1509                        ,19,鲁证期货    ,2622,-926,上海东证    ,446,-15,南华期货    ,202,83
20150730,IF1509                        ,20,国信期货    ,2549,39,东海期货    ,426,138,方正中期    ,194,-8
