交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151019,IF1511                        ,期货公司,26758,2644,18365,1733,18365,1733
20151019,IF1511                        ,非期货公司,0,0,0,0,0,0
20151019,IF1512                        ,期货公司,6978,-1088,18412,354,18412,354
20151019,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151019,IF1511                        ,1,海通期货    ,2001,582,中信期货    ,2620,140,华泰期货    ,2067,209
20151019,IF1511                        ,2,中信期货    ,1890,232,财富期货    ,2243,51,中信期货    ,2015,-40
20151019,IF1511                        ,3,国泰君安    ,1664,167,海通期货    ,1261,163,广发期货    ,1144,55
20151019,IF1511                        ,4,华泰期货    ,1445,233,永安期货    ,1109,232,银河期货    ,949,67
20151019,IF1511                        ,5,兴证期货    ,1111,394,华泰期货    ,853,94,兴证期货    ,940,-17
20151019,IF1511                        ,6,光大期货    ,1005,81,银河期货    ,815,90,国泰君安    ,933,170
20151019,IF1511                        ,7,银河期货    ,973,-385,国泰君安    ,793,-176,海通期货    ,896,180
20151019,IF1511                        ,8,永安期货    ,961,181,国投中谷    ,477,65,光大期货    ,509,1
20151019,IF1511                        ,9,申银万国    ,694,143,上海东证    ,460,84,南华期货    ,477,13
20151019,IF1511                        ,10,广发期货    ,673,-10,兴证期货    ,450,128,永安期货    ,456,51
20151019,IF1511                        ,11,中信建投    ,569,-22,广发期货    ,438,58,招商期货    ,428,12
20151019,IF1511                        ,12,上海东证    ,548,120,申银万国    ,404,66,中信建投    ,372,33
20151019,IF1511                        ,13,方正中期    ,530,135,光大期货    ,393,68,申银万国    ,342,50
20151019,IF1511                        ,14,南华期货    ,514,-98,招商期货    ,277,32,方正中期    ,328,116
20151019,IF1511                        ,15,招商期货    ,506,-63,南华期货    ,267,13,上海东证    ,304,28
20151019,IF1511                        ,16,国信期货    ,489,100,国信期货    ,238,18,国信期货    ,277,81
20151019,IF1511                        ,17,鲁证期货    ,459,-94,鲁证期货    ,226,43,国金期货    ,262,9
20151019,IF1511                        ,18,信达期货    ,424,22,中信建投    ,202,4,宏源期货    ,253,34
20151019,IF1511                        ,19,五矿经易    ,422,128,华西期货    ,178,-91,中钢期货    ,215,-12
20151019,IF1511                        ,20,华西期货    ,347,39,浙商期货    ,163,45,格林大华    ,205,2
20151019,IF1512                        ,1,海通期货    ,810,-65,国泰君安    ,3120,158,国泰君安    ,4619,18
20151019,IF1512                        ,2,国泰君安    ,690,-261,广发期货    ,1213,-10,广发期货    ,2450,6
20151019,IF1512                        ,3,中信期货    ,341,31,海通期货    ,1050,47,海通期货    ,1250,367
20151019,IF1512                        ,4,华泰期货    ,278,1,中信期货    ,812,-27,招商期货    ,1221,17
20151019,IF1512                        ,5,银河期货    ,235,-146,安信期货    ,755,113,华泰期货    ,1079,24
20151019,IF1512                        ,6,南华期货    ,216,47,南华期货    ,677,-65,中信期货    ,1068,-96
20151019,IF1512                        ,7,申银万国    ,177,63,华泰期货    ,660,10,银河期货    ,1034,-4
20151019,IF1512                        ,8,永安期货    ,173,21,申银万国    ,621,-25,兴业期货    ,846,0
20151019,IF1512                        ,9,上海东证    ,172,-70,五矿经易    ,536,5,安信期货    ,751,1
20151019,IF1512                        ,10,格林大华    ,170,86,上海东证    ,521,-3,长江期货    ,523,6
20151019,IF1512                        ,11,光大期货    ,150,12,瑞达期货    ,487,24,光大期货    ,514,14
20151019,IF1512                        ,12,兴证期货    ,136,-5,永安期货    ,469,19,国信期货    ,317,20
20151019,IF1512                        ,13,方正中期    ,132,-33,银河期货    ,451,13,五矿经易    ,163,5
20151019,IF1512                        ,14,安信期货    ,130,-24,东海期货    ,336,-5,中投天琪    ,157,3
20151019,IF1512                        ,15,广发期货    ,128,-57,宏源期货    ,325,9,永安期货    ,147,4
20151019,IF1512                        ,16,华西期货    ,128,-54,中原期货    ,313,2,方正中期    ,140,7
20151019,IF1512                        ,17,鲁证期货    ,126,-57,方正中期    ,312,-29,渤海期货    ,110,-1
20151019,IF1512                        ,18,渤海期货    ,115,-2,光大期货    ,308,24,格林大华    ,106,-44
20151019,IF1512                        ,19,招商期货    ,108,-79,招商期货    ,300,21,鲁证期货    ,97,-20
20151019,IF1512                        ,20,英大期货    ,106,4,中大期货    ,284,-2,南华期货    ,94,-3
