交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151102,IF1511                        ,期货公司,28540,-738,23606,100,23606,100
20151102,IF1511                        ,非期货公司,0,0,0,0,0,0
20151102,IF1512                        ,期货公司,5434,266,19064,-225,19064,-225
20151102,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151102,IF1511                        ,1,华泰期货    ,1825,124,中信期货    ,2724,-167,华泰期货    ,2292,-109
20151102,IF1511                        ,2,中信期货    ,1652,177,财富期货    ,2307,3,中信期货    ,1977,-99
20151102,IF1511                        ,3,海通期货    ,1553,-127,永安期货    ,1885,40,国泰君安    ,1519,24
20151102,IF1511                        ,4,国泰君安    ,1548,-157,海通期货    ,1700,76,兴证期货    ,1279,43
20151102,IF1511                        ,5,兴证期货    ,1190,75,华泰期货    ,1163,-4,广发期货    ,1185,-67
20151102,IF1511                        ,6,银河期货    ,1125,-49,银河期货    ,951,24,海通期货    ,1165,33
20151102,IF1511                        ,7,光大期货    ,1042,-166,安信期货    ,821,-5,光大期货    ,1161,96
20151102,IF1511                        ,8,广发期货    ,818,-22,国泰君安    ,728,24,南华期货    ,1058,44
20151102,IF1511                        ,9,永安期货    ,784,30,国投中谷    ,656,-1,银河期货    ,944,-9
20151102,IF1511                        ,10,鲁证期货    ,756,49,鲁证期货    ,649,26,招商期货    ,720,-20
20151102,IF1511                        ,11,招商期货    ,727,-125,上海东证    ,612,27,上海东证    ,611,53
20151102,IF1511                        ,12,南华期货    ,707,67,广发期货    ,582,25,永安期货    ,588,16
20151102,IF1511                        ,13,申银万国    ,702,-113,兴证期货    ,571,35,中信建投    ,437,10
20151102,IF1511                        ,14,中信建投    ,647,58,申银万国    ,540,15,宏源期货    ,433,29
20151102,IF1511                        ,15,方正中期    ,581,-61,五矿经易    ,467,31,鲁证期货    ,422,62
20151102,IF1511                        ,16,国信期货    ,534,14,招商期货    ,418,21,申银万国    ,391,-17
20151102,IF1511                        ,17,信达期货    ,510,12,光大期货    ,396,0,方正中期    ,390,-21
20151102,IF1511                        ,18,浙商期货    ,483,20,南华期货    ,383,15,国信期货    ,371,18
20151102,IF1511                        ,19,上海东证    ,454,-50,国信期货    ,317,0,国金期货    ,336,43
20151102,IF1511                        ,20,五矿经易    ,435,-41,华西期货    ,302,38,北京首创    ,258,3
20151102,IF1512                        ,1,国泰君安    ,554,158,国泰君安    ,2809,-202,国泰君安    ,3959,-202
20151102,IF1512                        ,2,华泰期货    ,436,55,安信期货    ,1364,30,广发期货    ,2449,-1
20151102,IF1512                        ,3,宏源期货    ,262,137,广发期货    ,1209,1,海通期货    ,2293,24
20151102,IF1512                        ,4,光大期货    ,251,90,海通期货    ,919,28,中信期货    ,1161,14
20151102,IF1512                        ,5,海通期货    ,216,-39,中信期货    ,810,31,招商期货    ,1161,16
20151102,IF1512                        ,6,中信期货    ,203,-29,南华期货    ,658,-49,华泰期货    ,1097,-12
20151102,IF1512                        ,7,银河期货    ,181,7,华泰期货    ,592,-70,银河期货    ,1017,-13
20151102,IF1512                        ,8,招商期货    ,176,29,申银万国    ,564,5,兴业期货    ,937,-6
20151102,IF1512                        ,9,南华期货    ,174,-47,瑞达期货    ,552,3,安信期货    ,677,3
20151102,IF1512                        ,10,永安期货    ,164,39,银河期货    ,510,26,长江期货    ,530,0
20151102,IF1512                        ,11,广发期货    ,130,37,鲁证期货    ,507,-2,光大期货    ,447,-74
20151102,IF1512                        ,12,英大期货    ,122,-9,永安期货    ,497,1,国信期货    ,317,2
20151102,IF1512                        ,13,渤海期货    ,114,-20,安粮期货    ,453,51,格林大华    ,248,5
20151102,IF1512                        ,14,华联期货    ,112,39,招商期货    ,401,-2,永安期货    ,191,13
20151102,IF1512                        ,15,华西期货    ,101,-11,五矿经易    ,393,10,五矿经易    ,180,-4
20151102,IF1512                        ,16,申银万国    ,100,15,上海东证    ,349,8,鲁证期货    ,172,-2
20151102,IF1512                        ,17,兴证期货    ,98,6,中原期货    ,317,1,中投天琪    ,137,3
20151102,IF1512                        ,18,国信期货    ,96,17,光大期货    ,308,-7,方正中期    ,126,1
20151102,IF1512                        ,19,新湖期货    ,94,5,兴证期货    ,303,7,兴证期货    ,123,21
20151102,IF1512                        ,20,上海东证    ,91,15,新湖期货    ,281,13,上海东证    ,114,7
