交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160115,IF1601                        ,期货公司,17198,-15632,0,-9564,0,-9564
20160115,IF1601                        ,非期货公司,0,0,0,0,0,0
20160115,IF1602                        ,期货公司,32196,9170,21230,4783,21230,4783
20160115,IF1602                        ,非期货公司,0,0,0,0,0,0
20160115,IF1603                        ,期货公司,5190,-300,11148,692,11148,692
20160115,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160115,IF1601                        ,1,中信期货    ,1348,-1116,国泰君安    ,0,-442,国泰君安    ,0,-553
20160115,IF1601                        ,2,海通期货    ,1163,-1035,南华期货    ,0,-172,南华期货    ,0,-182
20160115,IF1601                        ,3,国泰君安    ,829,-614,永安期货    ,0,-223,永安期货    ,0,-228
20160115,IF1601                        ,4,广发期货    ,826,-1337,一德期货    ,0,-15,一德期货    ,0,-7
20160115,IF1601                        ,5,银河期货    ,780,-752,鲁证期货    ,0,-400,鲁证期货    ,0,-336
20160115,IF1601                        ,6,申银万国    ,770,-191,光大期货    ,0,-257,光大期货    ,0,-238
20160115,IF1601                        ,7,上海东证    ,726,-101,东海期货    ,0,-85,东海期货    ,0,-77
20160115,IF1601                        ,8,华泰期货    ,704,-821,浙商期货    ,0,-149,浙商期货    ,0,-146
20160115,IF1601                        ,9,国投中谷    ,689,30,中粮期货    ,0,-29,中粮期货    ,0,-23
20160115,IF1601                        ,10,鲁证期货    ,530,-119,华泰期货    ,0,-391,华泰期货    ,0,-458
20160115,IF1601                        ,11,兴证期货    ,506,-722,五矿经易    ,0,-81,五矿经易    ,0,-87
20160115,IF1601                        ,12,光大期货    ,493,-496,广发期货    ,0,-366,广发期货    ,0,-510
20160115,IF1601                        ,13,招商期货    ,429,-277,信达期货    ,0,-43,信达期货    ,0,-30
20160115,IF1601                        ,14,国信期货    ,355,-223,中信期货    ,0,-767,中信期货    ,0,-847
20160115,IF1601                        ,15,南华期货    ,331,-265,金瑞期货    ,0,-30,金瑞期货    ,0,-27
20160115,IF1601                        ,16,浙商期货    ,327,-170,新世纪     ,0,-51,新世纪     ,0,-20
20160115,IF1601                        ,17,永安期货    ,324,-954,兴证期货    ,0,-300,兴证期货    ,0,-248
20160115,IF1601                        ,18,中信建投    ,315,-357,建信期货    ,0,-23,建信期货    ,0,-14
20160115,IF1601                        ,19,宏源期货    ,284,-271,平安期货    ,0,-44,平安期货    ,0,-82
20160115,IF1601                        ,20,方正中期    ,279,-220,格林大华    ,0,-64,格林大华    ,0,-194
20160115,IF1602                        ,1,中信期货    ,2031,297,中信期货    ,1939,522,广发期货    ,2462,331
20160115,IF1602                        ,2,国泰君安    ,2008,459,财富期货    ,1703,-6,国泰君安    ,1457,326
20160115,IF1602                        ,3,海通期货    ,1962,558,国泰君安    ,1648,210,兴证期货    ,1418,205
20160115,IF1602                        ,4,兴证期货    ,1811,595,海通期货    ,1545,527,中信期货    ,1327,65
20160115,IF1602                        ,5,华泰期货    ,1438,217,华泰期货    ,1423,220,华泰期货    ,1146,274
20160115,IF1602                        ,6,广发期货    ,1424,-180,银河期货    ,1172,193,海通期货    ,902,343
20160115,IF1602                        ,7,银河期货    ,1402,616,广发期货    ,1028,291,南华期货    ,675,56
20160115,IF1602                        ,8,光大期货    ,1246,303,永安期货    ,1005,213,光大期货    ,590,84
20160115,IF1602                        ,9,永安期货    ,909,288,兴证期货    ,578,62,招商期货    ,586,166
20160115,IF1602                        ,10,招商期货    ,842,341,光大期货    ,549,180,银河期货    ,575,205
20160115,IF1602                        ,11,申银万国    ,773,381,国投中谷    ,460,116,兴业期货    ,573,30
20160115,IF1602                        ,12,南华期货    ,726,262,申银万国    ,443,108,中信建投    ,534,149
20160115,IF1602                        ,13,中信建投    ,691,282,国信期货    ,386,53,国投中谷    ,514,38
20160115,IF1602                        ,14,国信期货    ,619,140,上海东证    ,379,96,永安期货    ,467,110
20160115,IF1602                        ,15,方正中期    ,609,301,鲁证期货    ,346,116,国信期货    ,425,88
20160115,IF1602                        ,16,鲁证期货    ,574,147,南华期货    ,335,116,五矿经易    ,411,22
20160115,IF1602                        ,17,上海东证    ,539,183,招商期货    ,302,98,上海东证    ,397,127
20160115,IF1602                        ,18,西部期货    ,528,237,方正中期    ,283,102,申银万国    ,321,127
20160115,IF1602                        ,19,华西期货    ,513,24,华西期货    ,260,8,华鑫期货    ,269,98
20160115,IF1602                        ,20,浙商期货    ,479,189,宏源期货    ,257,30,国金期货    ,262,36
20160115,IF1603                        ,1,光大期货    ,341,142,广发期货    ,1123,1,中信期货    ,1811,23
20160115,IF1603                        ,2,中信期货    ,325,-374,财富期货    ,1021,37,广发期货    ,1410,98
20160115,IF1603                        ,3,海通期货    ,287,11,国泰君安    ,840,29,招商期货    ,1178,31
20160115,IF1603                        ,4,兴证期货    ,256,67,瑞达期货    ,577,-23,国泰君安    ,684,17
20160115,IF1603                        ,5,宏源期货    ,239,114,中信期货    ,453,40,五矿经易    ,609,-4
20160115,IF1603                        ,6,华泰期货    ,207,-85,南华期货    ,406,-7,长江期货    ,542,10
20160115,IF1603                        ,7,广发期货    ,203,-245,华泰期货    ,397,2,兴业期货    ,446,37
20160115,IF1603                        ,8,鲁证期货    ,195,109,五矿经易    ,387,7,海通期货    ,357,17
20160115,IF1603                        ,9,国泰君安    ,168,-51,兴业期货    ,349,36,财富期货    ,321,0
20160115,IF1603                        ,10,招商期货    ,165,1,申银万国    ,344,30,华泰期货    ,290,47
20160115,IF1603                        ,11,华西期货    ,144,53,中原期货    ,305,2,光大期货    ,253,68
20160115,IF1603                        ,12,渤海期货    ,136,63,海通期货    ,277,24,永安期货    ,249,3
20160115,IF1603                        ,13,南华期货    ,135,61,兴证期货    ,268,56,上海东证    ,175,6
20160115,IF1603                        ,14,永安期货    ,133,-34,国金期货    ,262,4,兴证期货    ,173,26
20160115,IF1603                        ,15,银河期货    ,131,55,上海中期    ,234,3,格林大华    ,168,34
20160115,IF1603                        ,16,格林大华    ,108,5,永安期货    ,233,24,南华期货    ,163,42
20160115,IF1603                        ,17,上海东证    ,106,16,宏源期货    ,229,68,国信期货    ,160,14
20160115,IF1603                        ,18,国信期货    ,101,6,福能期货    ,222,9,国投中谷    ,160,-4
20160115,IF1603                        ,19,英大期货    ,97,29,光大期货    ,210,47,国金期货    ,157,6
20160115,IF1603                        ,20,方正中期    ,86,-67,招商期货    ,203,16,鲁证期货    ,130,14
