交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160125,IF1602                        ,期货公司,30026,-8110,26512,49,26512,49
20160125,IF1602                        ,非期货公司,0,0,0,0,0,0
20160125,IF1603                        ,期货公司,3530,-1492,12127,-18,12127,-18
20160125,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160125,IF1602                        ,1,海通期货    ,2134,-591,永安期货    ,2219,61,广发期货    ,2485,-123
20160125,IF1602                        ,2,国泰君安    ,1980,-511,国泰君安    ,2109,-2,国泰君安    ,2189,152
20160125,IF1602                        ,3,中信期货    ,1584,-303,中信期货    ,2080,23,华泰期货    ,1903,54
20160125,IF1602                        ,4,兴证期货    ,1577,-204,海通期货    ,2006,88,中信期货    ,1855,-189
20160125,IF1602                        ,5,华泰期货    ,1490,-485,财富期货    ,1737,119,兴证期货    ,1340,-71
20160125,IF1602                        ,6,银河期货    ,1457,-274,华泰期货    ,1483,116,海通期货    ,1276,76
20160125,IF1602                        ,7,光大期货    ,1293,-359,银河期货    ,1344,-31,南华期货    ,1123,22
20160125,IF1602                        ,8,广发期货    ,1283,-150,广发期货    ,1176,-36,光大期货    ,1040,81
20160125,IF1602                        ,9,上海东证    ,796,-379,国投中谷    ,993,117,招商期货    ,794,35
20160125,IF1602                        ,10,申银万国    ,741,-231,兴证期货    ,777,8,银河期货    ,704,4
20160125,IF1602                        ,11,招商期货    ,732,-242,申银万国    ,602,-47,上海东证    ,689,-103
20160125,IF1602                        ,12,永安期货    ,646,-213,鲁证期货    ,589,-17,中信建投    ,636,-9
20160125,IF1602                        ,13,鲁证期货    ,644,-202,光大期货    ,577,-42,国投中谷    ,602,-10
20160125,IF1602                        ,14,中信建投    ,590,-246,南华期货    ,473,39,国信期货    ,576,84
20160125,IF1602                        ,15,方正中期    ,571,-170,国信期货    ,447,22,申银万国    ,549,12
20160125,IF1602                        ,16,南华期货    ,547,-306,上海东证    ,433,23,永安期货    ,511,19
20160125,IF1602                        ,17,国信期货    ,456,-236,招商期货    ,406,-37,五矿经易    ,472,-15
20160125,IF1602                        ,18,浙商期货    ,451,-134,宏源期货    ,405,-5,兴业期货    ,352,-121
20160125,IF1602                        ,19,国投中谷    ,409,10,方正中期    ,313,-7,东兴期货    ,349,-29
20160125,IF1602                        ,20,宏源期货    ,396,-197,五矿经易    ,250,-11,鲁证期货    ,340,29
20160125,IF1603                        ,1,光大期货    ,367,-139,广发期货    ,1152,4,广发期货    ,1413,0
20160125,IF1603                        ,2,中信期货    ,268,-8,财富期货    ,1056,3,中信期货    ,1400,-84
20160125,IF1603                        ,3,海通期货    ,199,-32,国泰君安    ,916,12,招商期货    ,1265,-17
20160125,IF1603                        ,4,华泰期货    ,161,-142,瑞达期货    ,563,1,国泰君安    ,693,-9
20160125,IF1603                        ,5,国泰君安    ,141,-57,五矿经易    ,499,10,五矿经易    ,606,-1
20160125,IF1603                        ,6,招商期货    ,123,-61,中信期货    ,482,-2,兴业期货    ,603,53
20160125,IF1603                        ,7,渤海期货    ,115,-29,国投中谷    ,448,-11,长江期货    ,535,-1
20160125,IF1603                        ,8,南华期货    ,111,-101,华泰期货    ,438,7,光大期货    ,447,14
20160125,IF1603                        ,9,华西期货    ,105,-36,申银万国    ,363,-7,永安期货    ,368,16
20160125,IF1603                        ,10,永安期货    ,103,20,南华期货    ,331,-13,海通期货    ,361,14
20160125,IF1603                        ,11,兴业期货    ,103,-32,中原期货    ,302,-1,上海东证    ,350,11
20160125,IF1603                        ,12,宏源期货    ,87,-152,上海中期    ,268,1,华泰期货    ,331,-14
20160125,IF1603                        ,13,兴证期货    ,76,-45,国金期货    ,265,9,财富期货    ,326,-20
20160125,IF1603                        ,14,广发期货    ,70,-27,招商期货    ,255,-6,南华期货    ,322,2
20160125,IF1603                        ,15,方正中期    ,69,0,海通期货    ,254,-5,兴证期货    ,235,2
20160125,IF1603                        ,16,英大期货    ,63,-25,光大期货    ,248,-21,国信期货    ,189,12
20160125,IF1603                        ,17,申银万国    ,60,-25,兴证期货    ,233,4,国金期货    ,187,2
20160125,IF1603                        ,18,上海东证    ,60,-51,福能期货    ,227,-7,宏源期货    ,179,-6
20160125,IF1603                        ,19,银河期货    ,59,-25,方正中期    ,227,18,银河期货    ,177,8
20160125,IF1603                        ,20,东海期货    ,51,10,新湖期货    ,221,7,格林大华    ,175,7
