交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160203,IF1602                        ,期货公司,34014,-2282,25505,-506,25505,-506
20160203,IF1602                        ,非期货公司,0,0,0,0,0,0
20160203,IF1603                        ,期货公司,6190,662,14291,344,14291,344
20160203,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160203,IF1602                        ,1,海通期货    ,2236,-272,国泰君安    ,2059,-39,中信期货    ,1870,-89
20160203,IF1602                        ,2,国泰君安    ,2163,-259,永安期货    ,1988,-55,国泰君安    ,1716,-96
20160203,IF1602                        ,3,中信期货    ,1841,-192,广发期货    ,1957,224,华泰期货    ,1487,46
20160203,IF1602                        ,4,兴证期货    ,1762,-176,中信期货    ,1948,-6,海通期货    ,1477,-55
20160203,IF1602                        ,5,银河期货    ,1537,-65,海通期货    ,1795,-111,兴证期货    ,1475,-85
20160203,IF1602                        ,6,广发期货    ,1433,-295,华泰期货    ,1543,-9,南华期货    ,1457,15
20160203,IF1602                        ,7,华泰期货    ,1391,-335,财富期货    ,1441,-57,广发期货    ,1449,-61
20160203,IF1602                        ,8,光大期货    ,1320,-71,银河期货    ,1394,-36,上海东证    ,1264,-25
20160203,IF1602                        ,9,上海东证    ,1175,1,兴证期货    ,724,-107,光大期货    ,840,-27
20160203,IF1602                        ,10,申银万国    ,915,17,申银万国    ,630,42,招商期货    ,814,-2
20160203,IF1602                        ,11,永安期货    ,900,-90,光大期货    ,594,7,中信建投    ,774,18
20160203,IF1602                        ,12,招商期货    ,801,29,国投中谷    ,585,-177,永安期货    ,734,-41
20160203,IF1602                        ,13,中信建投    ,777,47,鲁证期货    ,567,-110,银河期货    ,720,-3
20160203,IF1602                        ,14,南华期货    ,751,-10,上海东证    ,510,44,国信期货    ,593,-13
20160203,IF1602                        ,15,方正中期    ,715,-56,国信期货    ,436,18,申银万国    ,578,-17
20160203,IF1602                        ,16,鲁证期货    ,639,-1,南华期货    ,420,-32,五矿经易    ,514,12
20160203,IF1602                        ,17,国信期货    ,611,71,方正中期    ,359,13,国投中谷    ,470,-1
20160203,IF1602                        ,18,浙商期货    ,586,61,招商期货    ,317,-3,方正中期    ,344,38
20160203,IF1602                        ,19,东航期货    ,499,70,西部期货    ,253,8,鲁证期货    ,322,1
20160203,IF1602                        ,20,国投中谷    ,458,-175,中信建投    ,250,13,平安期货    ,305,42
20160203,IF1603                        ,1,光大期货    ,590,69,广发期货    ,1187,11,中信期货    ,1397,6
20160203,IF1603                        ,2,华泰期货    ,403,125,国泰君安    ,1120,-12,招商期货    ,1288,41
20160203,IF1603                        ,3,中信期货    ,400,79,财富期货    ,1099,-3,广发期货    ,1183,29
20160203,IF1603                        ,4,海通期货    ,340,83,中信期货    ,826,134,国泰君安    ,1040,60
20160203,IF1603                        ,5,国泰君安    ,322,-29,五矿经易    ,584,3,华泰期货    ,948,-103
20160203,IF1603                        ,6,宏源期货    ,229,19,瑞达期货    ,510,0,光大期货    ,658,64
20160203,IF1603                        ,7,渤海期货    ,208,20,华泰期货    ,493,36,五矿经易    ,576,-24
20160203,IF1603                        ,8,兴证期货    ,196,42,国投中谷    ,480,1,长江期货    ,537,-4
20160203,IF1603                        ,9,银河期货    ,177,40,申银万国    ,426,-2,上海东证    ,533,22
20160203,IF1603                        ,10,招商期货    ,175,-19,宏源期货    ,384,5,兴业期货    ,460,-73
20160203,IF1603                        ,11,华西期货    ,152,21,南华期货    ,377,12,南华期货    ,437,26
20160203,IF1603                        ,12,美尔雅     ,141,0,兴证期货    ,360,9,国金期货    ,407,28
20160203,IF1603                        ,13,永安期货    ,135,8,光大期货    ,344,20,永安期货    ,406,26
20160203,IF1603                        ,14,广发期货    ,132,34,招商期货    ,337,-22,海通期货    ,397,-3
20160203,IF1603                        ,15,国信期货    ,127,33,国金期货    ,310,6,财富期货    ,330,0
20160203,IF1603                        ,16,上海东证    ,121,15,海通期货    ,305,17,银河期货    ,293,36
20160203,IF1603                        ,17,南华期货    ,116,-41,中原期货    ,304,0,国信期货    ,292,22
20160203,IF1603                        ,18,鲁证期货    ,108,62,上海中期    ,292,-4,宝城期货    ,240,19
20160203,IF1603                        ,19,申银万国    ,101,36,宝城期货    ,270,18,鲁证期货    ,202,28
20160203,IF1603                        ,20,兴业期货    ,99,-31,永安期货    ,263,5,格林大华    ,191,8
