交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160602,IF1606                        ,期货公司,20330,-7178,33751,-558,33751,-558
20160602,IF1606                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160602,IF1606                        ,1,中信期货    ,1620,-413,国泰君安    ,4843,-134,中信期货    ,3211,-65
20160602,IF1606                        ,2,海通期货    ,1377,-264,中信期货    ,3611,17,国泰君安    ,2465,-64
20160602,IF1606                        ,3,国泰君安    ,1220,-325,华泰期货    ,2574,-33,华泰期货    ,2326,135
20160602,IF1606                        ,4,兴证期货    ,1125,-223,海通期货    ,2298,-52,招商期货    ,1692,-35
20160602,IF1606                        ,5,华泰期货    ,942,-784,中金期货    ,2243,-16,海通期货    ,1684,-35
20160602,IF1606                        ,6,银河期货    ,857,-430,永安期货    ,1898,0,光大期货    ,1480,-62
20160602,IF1606                        ,7,广发期货    ,758,-138,银河期货    ,1578,3,广发期货    ,1323,9
20160602,IF1606                        ,8,光大期货    ,682,-381,兴证期货    ,1174,-82,银河期货    ,1316,70
20160602,IF1606                        ,9,鲁证期货    ,535,36,广发期货    ,1154,7,中金期货    ,1269,-1
20160602,IF1606                        ,10,五矿经易    ,506,-120,申银万国    ,792,-18,永安期货    ,1164,51
20160602,IF1606                        ,11,南华期货    ,495,-202,光大期货    ,711,36,申银万国    ,1144,-51
20160602,IF1606                        ,12,招商期货    ,465,-183,宏源期货    ,699,25,兴证期货    ,1110,5
20160602,IF1606                        ,13,永安期货    ,459,-277,鲁证期货    ,664,-127,南华期货    ,1027,36
20160602,IF1606                        ,14,中信建投    ,439,-55,五矿经易    ,594,-24,上海东证    ,968,-42
20160602,IF1606                        ,15,申银万国    ,429,-299,上海东证    ,580,5,国信期货    ,709,-13
20160602,IF1606                        ,16,浙商期货    ,400,-28,招商期货    ,452,36,国投中谷    ,652,-47
20160602,IF1606                        ,17,方正中期    ,400,-49,国投中谷    ,444,0,天风期货    ,613,0
20160602,IF1606                        ,18,国信期货    ,334,-179,南华期货    ,417,-13,中信建投    ,610,9
20160602,IF1606                        ,19,上海东证    ,313,-319,国信期货    ,400,1,鲁证期货    ,529,-18
20160602,IF1606                        ,20,西部期货    ,286,34,中信建投    ,303,-2,长江期货    ,491,8
