交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170111,IF1701                        ,期货公司,18346,3530,26052,-445,26052,-445
20170111,IF1701                        ,非期货公司,0,0,0,0,0,0
20170111,IF1703                        ,期货公司,1958,84,11089,354,11089,354
20170111,IF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170111,IF1701                        ,1,中信期货    ,1846,469,中信期货    ,3231,-79,中信期货    ,3870,-183
20170111,IF1701                        ,2,国泰君安    ,1593,556,国泰君安    ,3190,-260,广发期货    ,2197,-45
20170111,IF1701                        ,3,兴证期货    ,1068,53,银河期货    ,2986,4,国泰君安    ,1848,-3
20170111,IF1701                        ,4,华泰期货    ,902,227,华泰期货    ,2198,119,银河期货    ,1728,13
20170111,IF1701                        ,5,银河期货    ,873,-136,永安期货    ,1368,8,华泰期货    ,1628,-57
20170111,IF1701                        ,6,海通期货    ,844,294,五矿经易    ,1106,14,海通期货    ,1288,7
20170111,IF1701                        ,7,广发期货    ,680,-124,广发期货    ,863,49,招商期货    ,1249,-126
20170111,IF1701                        ,8,光大期货    ,660,230,宏源期货    ,781,1,上海东证    ,1113,-25
20170111,IF1701                        ,9,招商期货    ,578,197,海通期货    ,689,-213,兴证期货    ,945,32
20170111,IF1701                        ,10,申银万国    ,574,103,国投安信    ,663,-20,永安期货    ,942,21
20170111,IF1701                        ,11,南华期货    ,502,19,兴证期货    ,661,6,国投安信    ,728,51
20170111,IF1701                        ,12,永安期货    ,467,-1,中金期货    ,610,-136,南华期货    ,631,-30
20170111,IF1701                        ,13,浙商期货    ,432,230,浙商期货    ,486,-65,光大期货    ,594,-35
20170111,IF1701                        ,14,鲁证期货    ,382,40,招商期货    ,476,-68,中金期货    ,515,3
20170111,IF1701                        ,15,中信建投    ,344,52,鲁证期货    ,469,96,国信期货    ,470,20
20170111,IF1701                        ,16,国信期货    ,333,126,申银万国    ,430,-67,鲁证期货    ,464,-4
20170111,IF1701                        ,17,上海东证    ,269,44,南华期货    ,410,30,天风期货    ,428,-16
20170111,IF1701                        ,18,方正中期    ,267,42,光大期货    ,323,37,西部期货    ,357,21
20170111,IF1701                        ,19,中银国际    ,248,68,中银国际    ,315,-71,兴业期货    ,283,3
20170111,IF1701                        ,20,五矿经易    ,227,16,上海东证    ,303,4,申银万国    ,252,-21
20170111,IF1703                        ,1,中信期货    ,224,58,中金期货    ,1821,0,广发期货    ,1198,31
20170111,IF1703                        ,2,海通期货    ,165,-27,国投安信    ,1196,16,中信期货    ,1169,55
20170111,IF1703                        ,3,国泰君安    ,138,3,五矿经易    ,1139,-2,银河期货    ,903,1
20170111,IF1703                        ,4,永安期货    ,103,41,国泰君安    ,1119,73,国投安信    ,888,0
20170111,IF1703                        ,5,招商期货    ,94,20,中信期货    ,767,105,海通期货    ,814,7
20170111,IF1703                        ,6,浙商期货    ,93,53,申银万国    ,428,13,光大期货    ,799,-9
20170111,IF1703                        ,7,华泰期货    ,91,1,永安期货    ,363,71,兴业期货    ,543,-10
20170111,IF1703                        ,8,兴证期货    ,74,40,海通期货    ,295,-2,招商期货    ,515,86
20170111,IF1703                        ,9,国投安信    ,72,-42,银河期货    ,258,4,国泰君安    ,463,23
20170111,IF1703                        ,10,美尔雅     ,61,6,宏源期货    ,252,-1,国信期货    ,420,-2
20170111,IF1703                        ,11,兴业期货    ,60,18,兴证期货    ,227,9,上海东证    ,279,30
20170111,IF1703                        ,12,南华期货    ,58,-15,招商期货    ,222,2,永安期货    ,278,6
20170111,IF1703                        ,13,上海东证    ,53,-8,中原期货    ,203,0,兴证期货    ,277,41
20170111,IF1703                        ,14,宏源期货    ,50,4,安粮期货    ,201,-1,华泰期货    ,268,-8
20170111,IF1703                        ,15,光大期货    ,45,24,浙商期货    ,176,35,渤海期货    ,207,14
20170111,IF1703                        ,16,新湖期货    ,45,-1,上海东证    ,161,3,南华期货    ,181,7
20170111,IF1703                        ,17,华西期货    ,41,-12,东航期货    ,157,6,中粮期货    ,164,18
20170111,IF1703                        ,18,广发期货    ,37,9,中银国际    ,154,23,北京首创    ,157,2
20170111,IF1703                        ,19,申银万国    ,34,12,华泰期货    ,148,3,浙商期货    ,133,32
20170111,IF1703                        ,20,渤海期货    ,32,9,中信建投    ,124,7,长江期货    ,117,0
