交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170523,IF1706                        ,期货公司,35948,5942,33506,-698,33506,-698
20170523,IF1706                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170523,IF1706                        ,1,中信期货    ,3228,466,中信期货    ,3815,74,中信期货    ,4431,-268
20170523,IF1706                        ,2,华泰期货    ,2316,833,五矿经易    ,3794,92,上海东证    ,2337,-25
20170523,IF1706                        ,3,国泰君安    ,2096,233,中金期货    ,1863,12,银河期货    ,2301,50
20170523,IF1706                        ,4,银河期货    ,1958,232,国泰君安    ,1798,-201,华泰期货    ,2284,-467
20170523,IF1706                        ,5,海通期货    ,1743,250,广发期货    ,1384,89,光大期货    ,1830,31
20170523,IF1706                        ,6,光大期货    ,1683,124,银河期货    ,1325,-112,国泰君安    ,1775,-65
20170523,IF1706                        ,7,兴证期货    ,1657,79,兴证期货    ,1272,29,广发期货    ,1482,113
20170523,IF1706                        ,8,永安期货    ,1406,728,南华期货    ,1176,-24,海通期货    ,1338,-22
20170523,IF1706                        ,9,广发期货    ,1134,496,华泰期货    ,1169,57,国投安信    ,1332,-13
20170523,IF1706                        ,10,申银万国    ,1085,283,海通期货    ,1157,-45,兴证期货    ,1316,-12
20170523,IF1706                        ,11,五矿经易    ,989,219,申银万国    ,1013,-29,招商期货    ,791,8
20170523,IF1706                        ,12,招商期货    ,988,-216,乾坤期货    ,927,0,国信期货    ,771,-137
20170523,IF1706                        ,13,南华期货    ,793,-87,光大期货    ,853,30,永安期货    ,735,-133
20170523,IF1706                        ,14,浙商期货    ,733,132,永安期货    ,845,-615,申银万国    ,489,-20
20170523,IF1706                        ,15,西部期货    ,712,162,中银国际    ,729,11,鲁证期货    ,441,51
20170523,IF1706                        ,16,国信期货    ,636,165,招商期货    ,688,-16,华西期货    ,428,-4
20170523,IF1706                        ,17,中信建投    ,594,111,鲁证期货    ,624,-25,南华期货    ,403,3
20170523,IF1706                        ,18,新湖期货    ,558,139,中信建投    ,507,0,中信建投    ,394,24
20170523,IF1706                        ,19,鲁证期货    ,554,58,国富期货    ,488,-4,中金期货    ,387,40
20170523,IF1706                        ,20,方正中期    ,529,149,上海东证    ,420,-35,西部期货    ,374,-27
